id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.description.sponsorship[],dc.identifier.uri,dc.publisher[],dc.subject[],dc.title[],dc.title[en_US]
"e029efb2-992b-4802-95bc-24fc761f826a","108/20","ISO 7396-1 : 2007","2021-04-09T07:23:41Z","2016-12-02T07:37:47Z","2021-04-09T07:23:41Z","2016-12-02T07:37:47Z","2007","Made available in DSpace on 2016-12-02T07:37:47Z (GMT). No. of bitstreams: 1
7396-1.pdf: 1538534 bytes, checksum: dea8a289d5a125be93d35253524e2794 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-04-09T07:23:41Z (GMT). No. of bitstreams: 1
7396-1.pdf: 1538534 bytes, checksum: dea8a289d5a125be93d35253524e2794 (MD5)
  Previous issue date: 2007",,"http://localhost:8080/xmlui/handle/108/20115",,,"Medical gas pipeline systems -- Part 1: Pipeline systems for compressed medical gases and vacuum",
"e1b444a4-2530-4ea2-95c4-d2e2f0ffeed1","108/20","ISO/TR 6065 : 1991","2021-04-09T07:19:06Z","2016-12-02T07:37:04Z","2021-04-09T07:19:06Z","2016-12-02T07:37:04Z","1991","Made available in DSpace on 2016-12-02T07:37:04Z (GMT). No. of bitstreams: 1
6065.pdf: 2524169 bytes, checksum: 49783677302ad4d85171bedf1b3786ed (MD5)
  Previous issue date: 1991||Made available in DSpace on 2021-04-09T07:19:06Z (GMT). No. of bitstreams: 1
6065.pdf: 2524169 bytes, checksum: 49783677302ad4d85171bedf1b3786ed (MD5)
  Previous issue date: 1991",,"http://localhost:8080/xmlui/handle/108/19686",,,"Shipbuilding and marine structures -- Inflatable liferafts -- Materials",
"e1cddf91-bb0f-418d-ae3c-257da4ffa877","108/20","DIN EN 10216-3 : 2004","2021-04-09T07:22:42Z","2016-12-02T07:37:44Z","2021-04-09T07:22:42Z","2016-12-02T07:37:44Z","2004","Made available in DSpace on 2016-12-02T07:37:44Z (GMT). No. of bitstreams: 1
din-en-10216-3-2004.pdf: 889999 bytes, checksum: 2bffa27da45260f6cfa836dd416abeab (MD5)
  Previous issue date: 2004||Made available in DSpace on 2021-04-09T07:22:42Z (GMT). No. of bitstreams: 1
din-en-10216-3-2004.pdf: 889999 bytes, checksum: 2bffa27da45260f6cfa836dd416abeab (MD5)
  Previous issue date: 2004",,"http://localhost:8080/xmlui/handle/108/20083",,"dinstd","Seamless steel tubes for pressure purposes - Technical delivery conditions - Part 3: Alloy fine grain steel tubes (includes Amendment A1:2004)",
"e270dc8f-f58e-4b1e-9217-5f0246767e34","108/20","DIN EN 10222-4 : 2001","2021-04-09T07:22:54Z","2016-12-02T07:37:39Z","2021-04-09T07:22:54Z","2016-12-02T07:37:39Z","2001","Made available in DSpace on 2016-12-02T07:37:39Z (GMT). No. of bitstreams: 1
din-en-10222-4-2001.pdf: 335069 bytes, checksum: 785feddb61c6f4f968e2ce0e0e030977 (MD5)
  Previous issue date: 2001||Made available in DSpace on 2021-04-09T07:22:54Z (GMT). No. of bitstreams: 1
din-en-10222-4-2001.pdf: 335069 bytes, checksum: 785feddb61c6f4f968e2ce0e0e030977 (MD5)
  Previous issue date: 2001",,"http://localhost:8080/xmlui/handle/108/20029",,"dinstd","Steel forgings for pressure purposes - Part 4: Weldable fine grain steels with high proof strength (includes AmendmentA1:2001)",
"e2a1bc38-c902-4dd1-9677-9273fdf3f4ce","108/20","EN 325||R A Mottram||J Woolman","2021-04-09T07:23:52Z","2016-12-01T09:18:13Z","2021-04-09T07:23:52Z","2016-12-01T09:18:13Z","1968","Made available in DSpace on 2016-12-01T09:18:13Z (GMT). No. of bitstreams: 1
en325.pdf: 1315720 bytes, checksum: ebe6e81ad12d30180875f9a6703fb859 (MD5)
  Previous issue date: 1968||Made available in DSpace on 2021-04-09T07:23:52Z (GMT). No. of bitstreams: 1
en325.pdf: 1315720 bytes, checksum: ebe6e81ad12d30180875f9a6703fb859 (MD5)
  Previous issue date: 1968","The Mechanical And Physical Properties Of The British Standard En Steels  (B.S. 970-1955) Vol.8","http://localhost:8080/xmlui/handle/108/9662",,"ENSteels||EN325","LOW NICKEL-CHROMIUM-MOLYBDENUM CASE-HARDENING STEEL",
"e2c60d65-a783-4b6a-ab35-4007c9167345","108/20","ISO 437 : 1982","2021-04-09T07:24:00Z","2016-12-02T07:37:49Z","2021-04-09T07:24:00Z","2016-12-02T07:37:49Z","1982","Made available in DSpace on 2016-12-02T07:37:49Z (GMT). No. of bitstreams: 1
437.pdf: 1056363 bytes, checksum: b2790e7ab3c193eac639247eaa19984a (MD5)
  Previous issue date: 1982||Made available in DSpace on 2021-04-09T07:24:00Z (GMT). No. of bitstreams: 1
437.pdf: 1056363 bytes, checksum: b2790e7ab3c193eac639247eaa19984a (MD5)
  Previous issue date: 1982",,"http://localhost:8080/xmlui/handle/108/20143",,,"Steel and cast iron -- Determination of total carbon content -- Combustion gravimetric method",
"e30fbbef-3962-40fb-96e0-3969cae204dc","108/20","EN 354||R A Mottram||J Woolman","2021-04-09T07:24:37Z","2016-12-01T09:18:14Z","2021-04-09T07:24:37Z","2016-12-01T09:18:14Z","1968","Made available in DSpace on 2016-12-01T09:18:14Z (GMT). No. of bitstreams: 1
en354.pdf: 1589748 bytes, checksum: c83692b90a49b285ed447daa9b003446 (MD5)
  Previous issue date: 1968||Made available in DSpace on 2021-04-09T07:24:37Z (GMT). No. of bitstreams: 1
en354.pdf: 1589748 bytes, checksum: c83692b90a49b285ed447daa9b003446 (MD5)
  Previous issue date: 1968","The Mechanical And Physical Properties Of The British Standard En Steels  (B.S. 970-1955) Vol.4","http://localhost:8080/xmlui/handle/108/9666",,"ENSteels||EN354","1.75 PER CENT NICKEL-CHROMIUM-MOLYBDENUM CASE-HARDENING STEEL",
"e31c75ec-9b39-4081-ae90-7028983adfcf","108/20","ISO 527-2 : 1993","2021-04-09T07:19:29Z","2016-12-02T07:37:11Z","2021-04-09T07:19:29Z","2016-12-02T07:37:11Z","1993","Made available in DSpace on 2016-12-02T07:37:11Z (GMT). No. of bitstreams: 1
527-2.pdf: 1046992 bytes, checksum: 527d8d14282293ba6ff62cf073ef2ab1 (MD5)
  Previous issue date: 1993||Made available in DSpace on 2021-04-09T07:19:29Z (GMT). No. of bitstreams: 1
527-2.pdf: 1046992 bytes, checksum: 527d8d14282293ba6ff62cf073ef2ab1 (MD5)
  Previous issue date: 1993",,"http://localhost:8080/xmlui/handle/108/19753",,,"Plastics -- Determination of tensile properties -- Part 2: Test conditions for moulding and extrusion plastics",
"e412ef2c-a721-4b3d-bd1a-4124ff843afc","108/20","DIN EN 10312 : 2005","2021-04-09T07:23:04Z","2016-12-02T07:37:42Z","2021-04-09T07:23:04Z","2016-12-02T07:37:42Z","2005","Made available in DSpace on 2016-12-02T07:37:42Z (GMT). No. of bitstreams: 1
din-en-10312-2005.pdf: 223195 bytes, checksum: de9f9cf0411bde0069443d1fa3a2ab33 (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-04-09T07:23:04Z (GMT). No. of bitstreams: 1
din-en-10312-2005.pdf: 223195 bytes, checksum: de9f9cf0411bde0069443d1fa3a2ab33 (MD5)
  Previous issue date: 2005",,"http://localhost:8080/xmlui/handle/108/20062",,"dinstd","Welded stainless steel tubes for the conveyance of water and other aqueous liquids - Technical delivery conditions",
"e4a22325-f0d9-40f2-bb49-3021ed1b4586","108/20","En 17||R A Mottram||J Woolman","2021-04-09T07:24:38Z","2016-12-01T09:18:15Z","2021-04-09T07:24:38Z","2016-12-01T09:18:15Z","1964","Made available in DSpace on 2016-12-01T09:18:15Z (GMT). No. of bitstreams: 1
en_17.pdf: 2878774 bytes, checksum: 34a7524579b859b280112fc0b383dfd1 (MD5)
  Previous issue date: 1964||Made available in DSpace on 2021-04-09T07:24:38Z (GMT). No. of bitstreams: 1
en_17.pdf: 2878774 bytes, checksum: 34a7524579b859b280112fc0b383dfd1 (MD5)
  Previous issue date: 1964","The Mechanical And Physical Properties Of The British Standard En Steels  (B.S. 970-1955) Vol.1","http://localhost:8080/xmlui/handle/108/9675",,"ENSteels||En17","MANGANESE-MOLYBDENUM STEEL (HIGHER MOLYBDENUM",
"e5aa92db-b85b-4308-a4fe-87f37b4a0db9","108/20","BS EN 12167 : 2016","2021-04-09T07:24:08Z","2017-07-24T04:26:51Z","2021-04-09T07:24:08Z","2017-07-24T04:26:51Z","2016","Submitted by Tushar Sangamnerkar (tdsangamnerkar@arde.org) on 2017-07-24T04:26:51Z
No. of bitstreams: 1
BS EN 12167.pdf: 2329404 bytes, checksum: 2b44f99ea73ac4d868b89f3066f9fbb4 (MD5)||Made available in DSpace on 2017-07-24T04:26:51Z (GMT). No. of bitstreams: 1
BS EN 12167.pdf: 2329404 bytes, checksum: 2b44f99ea73ac4d868b89f3066f9fbb4 (MD5)
  Previous issue date: 2016||Made available in DSpace on 2021-04-09T07:24:08Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
BS EN 12167.pdf: 2329404 bytes, checksum: 2b44f99ea73ac4d868b89f3066f9fbb4 (MD5)
  Previous issue date: 2016",,"http://localhost:8080/xmlui/handle/108/150147",,,,"2016Copper and copper alloys - Profiles and bars for general purposes"
"e5bb4cde-44b4-4621-91dd-1dc55b47bd87","108/20","EN 352||R A Mottram||J Woolman","2021-04-09T07:24:39Z","2016-12-01T09:18:14Z","2021-04-09T07:24:39Z","2016-12-01T09:18:14Z","1968","Made available in DSpace on 2016-12-01T09:18:14Z (GMT). No. of bitstreams: 1
en352.pdf: 1777789 bytes, checksum: edb66a6405c3256b9241981e19fecd7f (MD5)
  Previous issue date: 1968||Made available in DSpace on 2021-04-09T07:24:39Z (GMT). No. of bitstreams: 1
en352.pdf: 1777789 bytes, checksum: edb66a6405c3256b9241981e19fecd7f (MD5)
  Previous issue date: 1968","The Mechanical And Physical Properties Of The British Standard En Steels  (B.S. 970-1955) Vol.6","http://localhost:8080/xmlui/handle/108/9664",,"ENSteels||EN352","1 PER CENT NICKEL-CHROMIUM CASE-HARDENING STEEL",
"e644d589-b488-4c91-ac2e-18f6fec5a540","108/20","PD 970 : 2005 BS","2021-04-09T07:21:58Z","2016-12-02T07:37:31Z","2021-04-09T07:21:58Z","2016-12-02T07:37:31Z","2005","Made available in DSpace on 2016-12-02T07:37:31Z (GMT). No. of bitstreams: 1
pd 970.pdf: 690530 bytes, checksum: d5a7c9130118d618efe03cfad20ec66e (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-04-09T07:21:58Z (GMT). No. of bitstreams: 1
pd 970.pdf: 690530 bytes, checksum: d5a7c9130118d618efe03cfad20ec66e (MD5)
  Previous issue date: 2005",,"http://localhost:8080/xmlui/handle/108/19975",,"britstd","Wrought steels for mechanical and allied engineering purposes - Requirements for carbon, carbon manganese and alloy hot worked or cold finished stee",
"e67da414-2136-4862-8553-5216df583560","108/20","DIN EN 10084 : 1998","2021-04-09T07:23:19Z","2016-12-02T07:37:44Z","2021-04-09T07:23:19Z","2016-12-02T07:37:44Z","1998","Made available in DSpace on 2016-12-02T07:37:44Z (GMT). No. of bitstreams: 1
din-en-10084-1998.pdf: 2326626 bytes, checksum: d4b9224a973499b4b48cd8412fbe2970 (MD5)
  Previous issue date: 1998||Made available in DSpace on 2021-04-09T07:23:19Z (GMT). No. of bitstreams: 1
din-en-10084-1998.pdf: 2326626 bytes, checksum: d4b9224a973499b4b48cd8412fbe2970 (MD5)
  Previous issue date: 1998",,"http://localhost:8080/xmlui/handle/108/20088",,"dinstd","Case hardening steels - Technical delivery conditions",
"e69a9d80-0e92-440f-b61a-787ed127599c","108/20","ISO/IEC 25020 : 2007","2021-04-09T07:19:50Z","2016-12-02T07:37:14Z","2021-04-09T07:19:50Z","2016-12-02T07:37:14Z","2007","Made available in DSpace on 2016-12-02T07:37:14Z (GMT). No. of bitstreams: 1
25020.pdf: 533074 bytes, checksum: f5e1b56e4f3a765aab9130994c3ba6a9 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-04-09T07:19:50Z (GMT). No. of bitstreams: 1
25020.pdf: 533074 bytes, checksum: f5e1b56e4f3a765aab9130994c3ba6a9 (MD5)
  Previous issue date: 2007",,"http://localhost:8080/xmlui/handle/108/19781",,,"Software engineering -- Software product Quality Requirements and Evaluation (SQuaRE) -- Measurement reference model and guide",
"e6b97116-9529-4ce2-92b5-5b6ed781b349","108/20","ISO/TS 22475-3 : 2007","2021-04-09T07:19:59Z","2016-12-02T07:37:17Z","2021-04-09T07:19:59Z","2016-12-02T07:37:17Z","2007","Made available in DSpace on 2016-12-02T07:37:17Z (GMT). No. of bitstreams: 1
22475-3.pdf: 152364 bytes, checksum: a0d74c9ce928e35f6dd2dc34a52175e3 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-04-09T07:19:59Z (GMT). No. of bitstreams: 1
22475-3.pdf: 152364 bytes, checksum: a0d74c9ce928e35f6dd2dc34a52175e3 (MD5)
  Previous issue date: 2007",,"http://localhost:8080/xmlui/handle/108/19810",,,"Geotechnical investigation and testing -- Sampling methods and groundwater measurements -- Part 3: Conformity assessment of enterprises and personnel by third party",
"e789327b-3e68-40e8-b54e-8613cf590b0b","108/20","ISO 4548-11 : 1997","2021-04-09T07:19:11Z","2016-12-02T07:37:12Z","2021-04-09T07:19:11Z","2016-12-02T07:37:12Z","1997","Made available in DSpace on 2016-12-02T07:37:12Z (GMT). No. of bitstreams: 1
4548-11.pdf: 4126398 bytes, checksum: 9a9f9a76082a2c18f85b21b1564069bc (MD5)
  Previous issue date: 1997||Made available in DSpace on 2021-04-09T07:19:11Z (GMT). No. of bitstreams: 1
4548-11.pdf: 4126398 bytes, checksum: 9a9f9a76082a2c18f85b21b1564069bc (MD5)
  Previous issue date: 1997",,"http://localhost:8080/xmlui/handle/108/19754",,,"Methods of test for full-flow lubricating oil filters for internal combustion engines -- Part 11: Self-cleaning filters",
"e7982ec2-bdd1-4002-aeff-9b23c03ba1da","108/20","BS 3673-3:1968","2021-04-09T07:21:21Z","2016-12-02T07:37:29Z","2021-04-09T07:21:21Z","2016-12-02T07:37:29Z","1968","Made available in DSpace on 2016-12-02T07:37:29Z (GMT). No. of bitstreams: 1
bs-3673-part-3-1968.pdf: 335020 bytes, checksum: ed3b3c45e6b7022c00ba4414c75ad4bf (MD5)
  Previous issue date: 1968||Made available in DSpace on 2021-04-09T07:21:21Z (GMT). No. of bitstreams: 1
bs-3673-part-3-1968.pdf: 335020 bytes, checksum: ed3b3c45e6b7022c00ba4414c75ad4bf (MD5)
  Previous issue date: 1968",,"http://localhost:8080/xmlui/handle/108/19954",,"britstd","Spring retaining rings - Part 3: Carbon steel C clips",
"e7dfe4dc-d2fc-4ec0-bc88-c6a852f452d8","108/20","En 36||R A Mottram||J Woolman","2021-04-09T07:23:27Z","2016-12-01T09:18:08Z","2021-04-09T07:23:27Z","2016-12-01T09:18:08Z","1966","Made available in DSpace on 2016-12-01T09:18:08Z (GMT). No. of bitstreams: 1
en_36.pdf: 4069314 bytes, checksum: f796ea70a4676fb735dd355f8c91b171 (MD5)
  Previous issue date: 1966||Made available in DSpace on 2021-04-09T07:23:27Z (GMT). No. of bitstreams: 1
en_36.pdf: 4069314 bytes, checksum: f796ea70a4676fb735dd355f8c91b171 (MD5)
  Previous issue date: 1966","The Mechanical And Physical Properties Of The British Standard En Steels  (B.S. 970-1955) Vol.2","http://localhost:8080/xmlui/handle/108/9618",,"ENSteels||En36","3 PER CENT NIGKEL-CHROMIUM AND NICKEL-CHROMIUM-MOLYBDENUM CASE-HARDENING STEEL",
